STATcube;;;;
;;;;
Versorgungsbilanz für Fleisch nach Arten ab 1994 in Tonnen (Q);;;;
Produkte nach Werte nach Jahr;;;;
Zählt: BRUTTOEIGENERZEUGUNG, Einfuhr lebender Tiere, Ausfuhr lebender Tiere, NETTOERZEUGUNG, Anfangsbestand, Endbestand, Einfuhr, Ausfuhr, INLANDSVERBRAUCH, Inlandsverbrauch pro Kopf in kg, SELBSTVERSORGUNGSGRAD in %, Menschlicher Verzehr, Menschlicher Verzehr pro Kopf in kg;;;;
;;;;
Produkte;Werte;Jahr;Anzahl;Anmerkungen
Fleisch insgesamt;INLANDSVERBRAUCH;1998;788889;
Fleisch insgesamt;INLANDSVERBRAUCH;1999;804955;
Fleisch insgesamt;INLANDSVERBRAUCH;1997;781763;
Fleisch insgesamt;INLANDSVERBRAUCH;2000;831957;
Fleisch insgesamt;INLANDSVERBRAUCH;2001;788656;
Fleisch insgesamt;INLANDSVERBRAUCH;2002;786329;
Fleisch insgesamt;INLANDSVERBRAUCH;2003;796056;
Fleisch insgesamt;INLANDSVERBRAUCH;2004;805987;
Fleisch insgesamt;INLANDSVERBRAUCH;2006;808631;
Fleisch insgesamt;INLANDSVERBRAUCH;2005;812081;
Fleisch insgesamt;INLANDSVERBRAUCH;2007;825954;
Fleisch insgesamt;INLANDSVERBRAUCH;2008;813426;
Fleisch insgesamt;INLANDSVERBRAUCH;2010;832239;
Fleisch insgesamt;INLANDSVERBRAUCH;2009;832532;
Fleisch insgesamt;INLANDSVERBRAUCH;2011;827233;
Fleisch insgesamt;INLANDSVERBRAUCH;2012;824019;
Fleisch insgesamt;INLANDSVERBRAUCH;2013;826511;
Fleisch insgesamt;INLANDSVERBRAUCH;2014;830738;
Fleisch insgesamt;INLANDSVERBRAUCH;2015;835206;
Fleisch insgesamt;INLANDSVERBRAUCH;2016;843838;
Fleisch insgesamt;INLANDSVERBRAUCH;2017;832381;
Fleisch insgesamt;INLANDSVERBRAUCH;2018;842030;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;2019;93,9;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;2020;90,7;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;2021;88,6;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;2022;88,3;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;2023;86,6;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;1994;96,8;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;1995;98,9;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;1996;99,6;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;1998;97,7;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;1999;99,5;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;1997;96,9;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;2000;102,6;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;2001;97,8;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;2002;97,8;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;2003;98,3;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;2004;98,6;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;2006;97,6;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;2005;98,6;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;2007;99,4;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;2008;97,6;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;2010;99,2;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;2009;99,5;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;2011;98,2;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;2012;97,8;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;2013;97,5;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;2014;97,2;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;2015;96,9;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;2016;96,5;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;2017;94,6;
Fleisch insgesamt;Inlandsverbrauch pro Kopf in kg;2018;95,3;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;2019;109;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;2020;113;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;2021;114;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;2022;110;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;2023;108;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;1994;110;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;1995;103;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;1996;107;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;1998;110;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;1999;110;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;1997;109;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;2000;104;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;2001;109;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;2002;110;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;2003;110;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;2004;108;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;2006;106;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;2005;105;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;2007;108;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;2008;110;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;2010;111;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;2009;109;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;2011;112;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;2012;110;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;2013;110;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;2014;110;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;2015;109;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;2016;107;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;2017;108;
Fleisch insgesamt;SELBSTVERSORGUNGSGRAD in %;2018;108;
Fleisch insgesamt;Menschlicher Verzehr;2019;556185;
Fleisch insgesamt;Menschlicher Verzehr;2020;538760;
Fleisch insgesamt;Menschlicher Verzehr;2021;527780;
Fleisch insgesamt;Menschlicher Verzehr;2022;530842;
Fleisch insgesamt;Menschlicher Verzehr;2023;525878;
Fleisch insgesamt;Menschlicher Verzehr;1994;515969;
Fleisch insgesamt;Menschlicher Verzehr;1995;526731;
Fleisch insgesamt;Menschlicher Verzehr;1996;532637;
Fleisch insgesamt;Menschlicher Verzehr;1998;526205;
Fleisch insgesamt;Menschlicher Verzehr;1999;534610;
Fleisch insgesamt;Menschlicher Verzehr;1997;520299;
Fleisch insgesamt;Menschlicher Verzehr;2000;554572;
Fleisch insgesamt;Menschlicher Verzehr;2001;524938;
Fleisch insgesamt;Menschlicher Verzehr;2002;523875;
Fleisch insgesamt;Menschlicher Verzehr;2003;530879;
Fleisch insgesamt;Menschlicher Verzehr;2004;534725;
Fleisch insgesamt;Menschlicher Verzehr;2006;538471;
Fleisch insgesamt;Menschlicher Verzehr;2005;539835;
Fleisch insgesamt;Menschlicher Verzehr;2007;550867;
Fleisch insgesamt;Menschlicher Verzehr;2008;542335;
Fleisch insgesamt;Menschlicher Verzehr;2010;553476;
Fleisch insgesamt;Menschlicher Verzehr;2009;553597;
Fleisch insgesamt;Menschlicher Verzehr;2011;549963;
Fleisch insgesamt;Menschlicher Verzehr;2012;549231;
