STATcube

"Versorgungsbilanz für Milch ab 1995 in Tonnen (G Q)"
"Produkte nach Werte nach Jahr"
"Zählt: ERZEUGUNG, Anfangsbestand, Endbestand, Einfuhr, Ausfuhr, INLANDSVERWENDUNG, Futter, Verarbeitung, Verluste, NAHRUNGSVERBRAUCH, Nahrungsverbrauch pro Kopf in kg, SELBSTVERSORGUNGSGRAD in %"

"Produkte";"Werte";"Jahr";"Anzahl";"Anmerkungen";
"Konsummilch";"INLANDSVERWENDUNG";"2001";612324;
"Konsummilch";"INLANDSVERWENDUNG";"2002";624403;
"Konsummilch";"INLANDSVERWENDUNG";"2003";625739;
"Konsummilch";"INLANDSVERWENDUNG";"2004";622358;
"Konsummilch";"INLANDSVERWENDUNG";"2005";644312;
"Konsummilch";"INLANDSVERWENDUNG";"2006";664499;
"Konsummilch";"INLANDSVERWENDUNG";"2007";644765;
"Konsummilch";"INLANDSVERWENDUNG";"2008";661204;
"Konsummilch";"INLANDSVERWENDUNG";"2009";656430;
"Konsummilch";"INLANDSVERWENDUNG";"2010";648652;
"Konsummilch";"INLANDSVERWENDUNG";"2011";669973;
"Konsummilch";"INLANDSVERWENDUNG";"2012";658214;
"Konsummilch";"INLANDSVERWENDUNG";"2013";650334;
"Konsummilch";"INLANDSVERWENDUNG";"2014";653989;
"Konsummilch";"INLANDSVERWENDUNG";"2015";656363;
"Konsummilch";"INLANDSVERWENDUNG";"2016";655746;
"Konsummilch";"INLANDSVERWENDUNG";"2017";668326;
"Konsummilch";"INLANDSVERWENDUNG";"2018";671908;
"Konsummilch";"Futter";"2019";-;
"Konsummilch";"Futter";"2020";-;
"Konsummilch";"Futter";"2021";-;
"Konsummilch";"Futter";"2022";-;
"Konsummilch";"Futter";"2023";-;
"Konsummilch";"Futter";"1995";-;
"Konsummilch";"Futter";"1996";-;
"Konsummilch";"Futter";"1997";-;
"Konsummilch";"Futter";"1998";-;
"Konsummilch";"Futter";"1999";-;
